Coursename,CRN,Department,CourseID,Section,Level,Credits,Prerequisites,timeslot,Day,Location,,,Term,Roomtype,Instructor,Capacity
Intro to Digital Photography,90899,ART,243,1,Undergraduate ,3,,11:30 am - 1:35 pm,MWF,Tyler Hall 216,Tyler Hall ,216,Fall2016,Activity,Peter   Cardone,30
Intro to Digital Photography,91205,ART,243,2,Undergraduate ,3,,2:00 pm - 5:00 pm,MW,Tyler Hall 216,Hewitt Union ,7A,Fall2016,Studio,Julieve   Jubin,30
Sculpture I,91768,ART,245,3,Undergraduate ,3,,2:20 pm - 5:15 pm,TR,Hewitt Union 7A,Lanigan Hall ,107,Fall2016,Studio,Benjamin R  Entner,30
West Hert I-Survy Art I,90274,ART,250,4,Undergraduate ,3,,3:00 pm - 4:25 pm,MW,Lanigan Hall 107,,"100% web, no face to face ",Fall2016,Lecture,Walter R  Langlois,30
West Hert I-Survy Art I,92788,ART,250,5,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Hewitt Union ,212,Fall2016,Distance Learning,Benjamin R  Entner,30
West HertII-Survy Art II,91661,ART,251,6,Undergraduate ,3,,10:20 am - 11:15 am,MWF,Hewitt Union 212,,"100% web, no face to face ",Fall2016,Lecture,Lisa A  Seppi,30
West HertII-Survy Art II,92818,ART,251,7,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Tyler Hall ,201,Fall2016,Distance Learning,Lisa A  Seppi,30
Figure Drawing I,90733,ART,300,,Undergraduate ,3,,6:00 pm - 9:00 pm,MW,Tyler Hall 201,Lanigan Hall ,34,Fall2016,Activity,Juan   Perdiguero,30
Motion Graphics I,92813,ART,304,1,Undergraduate ,3,,2:20 pm - 5:15 pm,TR,Lanigan Hall 34,Lanigan Hall ,34,Fall2016,Lecture,Carla A  Senecal,30
Type and Image,91211,ART,307,2,Undergraduate ,3,,9:35 am - 12:30 pm,TR,Lanigan Hall 34,Lanigan Hall ,36,Fall2016,Studio,Carla A  Senecal,30
Multimedia I,91220,ART,309,3,Undergraduate ,3,,2:00 pm - 5:00 pm,MW,Lanigan Hall 36,Tyler Hall ,201,Fall2016,Studio,Cara B  Thompson,30
Intermediate Drawing,90275,ART,310,4,Undergraduate ,3,,2:00 pm - 5:00 pm,MW,Tyler Hall 201,Tyler Hall ,217,Fall2016,Studio,Juan   Perdiguero,30
Digital Illustration I,91483,ART,313,5,Undergraduate ,3,,9:35 am - 12:30 pm,TR,Tyler Hall 217,Lanigan Hall ,36,Fall2016,Studio,Amy E.  Bartell,30
Web Media I,91214,ART,317,6,Undergraduate ,3,,9:10 am - 11:15 am,MWF,Lanigan Hall 36,Lanigan Hall ,36,Fall2016,Studio,Rebecca Wendy  Mushtare,30
3-D Modeling and Animation,91654,ART,318,7,Undergraduate ,3,,6:00 pm - 9:00 pm,MW,Lanigan Hall 36,Tyler Hall ,209,Fall2016,Studio,Lisa A.  DuBois,30
